Organization Name,Address,Tel-no,Category,Keywords
BAUMAN FAMILY CHIROPRACTIC PC,323 LIME OAK DR  PITTSBURGH United States 152353549 PA,412-373-7707,Chiropractor,
PERRYVILLE CHIROPRACTIC CLINIC,949 PERRY HWY  PITTSBURGH United States 152372106 PA,412-364-4880,Chiropractor,
TEPPER MEDICAL EQUIPMENT,2212 MURRAY AVE  PITTSBURGH United States 15217 PA,412-521-0625,Durable Medical Equipment & Medical Supplies,
"FOXWALL EMERGENCY MEDICAL SERVICE, INC.",145 SQUAW RUN RD  PITTSBURGH United States 152382344 PA,412-963-6611,Ambulance,
DONNA L. KNUPP MD,4381 MURRAY AVE  PITTSBURGH United States 152172905 PA,412-521-2857,Family Medicine,
SAM'S CLUB OPTICAL,289 NEBO POINT DR  PITTSBURGH United States 15237 PA,412-364-1572,Technician/Technologist Optician,Eye and Ear Care
"PREFERRED PRIMARY CARE PHYSICIANS, INC.",300 FLEET ST SUITE 100 PITTSBURGH United States 152202903 PA,412-920-0400,Non-Pharmacy Dispensing Site,Pharmacy
EYES ON REGENT SQUARE,1201 S BRADDOCK AVE  PITTSBURGH United States 152181275 PA,412-731-2020,Optometrist,
EAST LIBERTY FAMILY HEALTH CARE CENTER,7171 CHURCHLAND ST  PITTSBURGH United States 152061217 PA,412-345-0414,Non-Pharmacy Dispensing Site,Pharmacy
"BARRY L. ALPERT, M.D., P.C.",5200 CENTRE AVENUE SUITE 216 PITTSBURGH United States 152321312 PA,412-681-5500,Internal Medicine,
WEST PENN ALLEGHENY HEALTH SYSTEM INC.,320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-3131,Clinic/Center Ambulatory Surgical,
UNIVERSITY OF PITTSBURGH PHYSICIANS,200 LOTHROP ST  PITTSBURGH United States 152132536 PA,412-648-6531,General Acute Care Hospital,
THE EARLY LEARNING INSTITUTE,2510 BALDWICK RD  PITTSBURGH United States 152054104 PA,412-922-8322,Case Manager/Care Coordinator,
"STEPHEN P. SCHACHNER ASSOCIATES, P.A.",128 N CRAIG ST SUITE 208 PITTSBURGH United States 152132744 PA,412-683-1000,Psychologist Clinical,
"STEPHEN P SCHACHNER ASSOCIATES, P.A.",128 N CRAIG ST SUITE 208 PITTSBURGH United States 152132744 PA,412-683-1000,Psychologist,
"N LANDERMAN MD, P.C.",3471 5TH AVE SUITE 603 PITTSBURGH United States 152133215 PA,412-682-2030,Specialist,
THE CHILDREN'S HOME OF PITTSBURGH,5324 PENN AVE  PITTSBURGH United States 152241733 PA,412-441-4884,Rehabilitation Hospital Children,Mental Health and Rehabilitation
FRANK R. ARIANNA,4402 PENN AVE  PITTSBURGH United States 152241312 PA,412-683-5093,Technician/Technologist Optician,Eye and Ear Care
"SQUIRREL HILL CHIROPRACTIC CARE, INC.",2728 MURRAY AVE  PITTSBURGH United States 152172420 PA,412-521-4455,Chiropractor,
"DR HERBERT I. LEVIT, P.C.",428 FORBES AVENUE 2302 LAWYERS BUILDING PITTSBURGH United States 152191604 PA,412-471-2011,Psychologist,
"FAMILYLINKS, INC",2644 BANKSVILLE RD  PITTSBURGH United States 152162812 PA,412-661-1800,Community/Behavioral Health,
PRESSLEY RIDGE,530 MARSHALL AVE  PITTSBURGH United States 152143098 PA,412-321-6995,Community/Behavioral Health,
PRESSLEY RIDGE,2611 STAYTON ST  PITTSBURGH United States 152122759 PA,412-321-6995,Case Management,
SHAILAJA PAREPALLY MD PC,9104 BABCOCK BLVD SUITE 6118 PITTSBURGH United States 152375818 PA,412-364-4620,Specialist,
GURTNER &GURTNER,429 COCHRAN RD  PITTSBURGH United States 152281211 PA,412-341-0133,Dentist General Practice,Dental Care
TOBII DYNAVOX LLC,2100 WHARTON STREET SUITE 400 PITTSBURGH United States 15203 PA,412-381-4883,Durable Medical Equipment & Medical Supplies,
"CAMPBELL & PHILBIN MEDICAL ASSOCIATES, P.C.",1400 LOCUST ST SUITE 5109 PITTSBURGH United States 152195114 PA,412-281-2575,Non-Pharmacy Dispensing Site,Pharmacy
"HOWARD S.PITTLE, M.D., P.C.",5247 BROWNSVILLE RD  PITTSBURGH United States 152362756 PA,412-943-1300,Family Medicine,
"STO-ROX NEIGHBORHOOD HEALTH COUNCIL, INC.",1515 LOCUST ST  PITTSBURGH United States 152195131 PA,999-999-9999,Pediatrics,
ARTHRITIS AND INTERNAL MEDICINE ASSOCIATES-UPMC,580 S AIKEN AVE SUITE 430 PITTSBURGH United States 152321531 PA,412-682-2434,Non-Pharmacy Dispensing Site,Pharmacy
JG EARLY INTERVENTION SPECIALISTS INC.,9800B MCKNIGHT RD SUITE 150 PITTSBURGH United States 152376020 PA,412-364-2446,Speech-Language Pathologist  ,
HOLY FAMILY INSTITUTE,8235 OHIO RIVER BLVD  PITTSBURGH United States 152021454 PA,412-766-4030,Community/Behavioral Health,
"WELLNESS PITTSBURGH, PC",1141 S BRADDOCK AVE  PITTSBURGH United States 152181250 PA,412-243-9355,Chiropractor,
SHADY MED INC,5020 CENTRE AVE  PITTSBURGH United States 15213 PA,412-586-5410,Pharmacist,Pharmacy
CARING HANDS PEDIATRICS PC,105 BRAUNLICH DR SUITE 102 PITTSBURGH United States 152373348 PA,412-369-7720,Pediatrics Adolescent Medicine,
UPMC COMMUNITY MEDICINE INC,4381 MURRAY AVE  PITTSBURGH United States 152172905 PA,412-521-2857,Non-Pharmacy Dispensing Site,Pharmacy
EVERY CHILD INC,1425 FORBES AVE  PITTSBURGH United States 15219 PA,412-665-0600,Public Health or Welfare,
MICHAEL BIANCO DMD INC.,88 FORT COUCH RD SUITE 202 PITTSBURGH United States 152411034 PA,412-835-1111,Dentist Oral and Maxillofacial Surgery,"Surgery, Dental Care"
"BRIDGES HOME CARE SERVICES, INC",1200 GULF LAB RD  PITTSBURGH United States 152381311 PA,412-380-0711,In Home Supportive Care,
"EMMANUEL FAMILY PRACTICE ASSOCIATES, PC",1789 S BRADDOCK AVE STE 380 PITTSBURGH United States 152181883 PA,412-727-6478,Family Medicine,
HOMETOWN OXYGEN PITTSBURGH LLC,400 RODI RD  PITTSBURGH United States 152354519 PA,412-371-0661,Durable Medical Equipment & Medical Supplies Oxygen Equipment & Supplies,
"KINDRED HOSPITAL - PITTSBURGH - NORTH SHORE, L. L. C.",1004 ARCH ST  PITTSBURGH United States 152125235 PA,412-323-5800,Long Term Care Hospital,
SARAH WELLS LCSW AND ASSOCIATES,1824 MURRAY AVE SUITE 204 PITTSBURGH United States 152171655 PA,412-901-8007,Social Worker Clinical,
"FETTLE, LLC",1 PPG PLACE 31 ST FLOOR PITTSBURGH United States 15222 PA,724-327-7246,Chiropractor,
PENNSYLVANIA ORGANIZATION OF WOMEN IN EARLY RECOVERY,7501 PENN AVE SUITE 8 PITTSBURGH United States 152082560 PA,412-243-8755,Community/Behavioral Health,
"PITTSBURGH EYE ASSOCIATES, PC",4424 PENN AVE SUITE 101 PITTSBURGH United States 152241338 PA,412-683-0500,Ophthalmology,
THE SALVATION ARMY,865 W NORTH AVE  PITTSBURGH United States 152331616 PA,412-231-0500,Substance Abuse Rehabilitation Facility,Mental Health and Rehabilitation
THE CHILDREN'S INSTITUTE OF PITTSBURGH,6301 NORTHUMBERLAND ST  PITTSBURGH United States 152171360 PA,412-420-2400,Psychiatry & Neurology Psychiatry,
THE CHILDREN'S INSTITUTE OF PITTSBURGH,1405 SHADY AVE  PITTSBURGH United States 152171396 PA,412-420-2400,Foster Care Agency,
"CIANFLONE OPTOMETRY, LLC",71 OLD CLAIRTON ROAD  PITTSBURGH United States 152363916 PA,412-653-0277,Optometrist,
"PERSAD CENTER, INC.",5301 BUTLER ST SUITE 100 PITTSBURGH United States 152012656 PA,412-441-9786,Clinic/Center Mental Health (Including Community Mental Health Center),Mental Health and Rehabilitation
MERAKEY PENNSYLVANIA,729 ENSIGN AVE  PITTSBURGH United States 152261105 PA,215-836-3131,Community/Behavioral Health,
MERAKEY PENNSYLVANIA,333 BLVD OF THE ALLIES  PITTSBURGH United States 152221907 PA,215-836-3131,Community/Behavioral Health,
SOUTH HILLS EYE ASSOCIATES,713 WASHINGTON RD  PITTSBURGH United States 152282001 PA,412-561-1964,Specialist,
UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,4401 PENN AVE  PITTSBURGH United States 15224 PA,412-432-7517,Clinic/Center Emergency Care,
UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,3705 5TH AVE GROUND FLOOR PITTSBURGH United States 15213 PA,412-692-5352,Special Hospital,
UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,4401 PENN AVE  PITTSBURGH United States 15224 PA,412-647-0943,Physical Medicine & Rehabilitation Pediatric Rehabilitation Medicine,Mental Health and Rehabilitation
UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,4401 PENN AVE  PITTSBURGH United States 15224 PA,412-432-7469,Clinic/Center Ambulatory Surgical,
UPMC MAGEE-WOMENS HOSPITAL,300 HALKET ST  PITTSBURGH United States 15213 PA,412-432-5500,Clinic/Center Ambulatory Surgical,
UPMC MAGEE-WOMENS HOSPITAL,300 HALKET ST  PITTSBURGH United States 15213 PA,412-641-4460,General Acute Care Hospital Women,
WALGREEN CO.,7628 PENN AVENUE  PITTSBURGH United States 152212114 PA,412-247-5601,Pharmacy,Pharmacy
QUEST DIAGNOSTICS VENTURE LLC,875 GREENTREE RD  PITTSBURGH United States 152203508 PA,412-920-7600,Clinical Medical Laboratory,
HANGER PROSTHETICS & ORTHOTICS INC,33 S 19TH ST  PITTSBURGH United States 152031841 PA,412-431-3553,Prosthetic/Orthotic Supplier,
PRESSLEY RIDGE,530 MARSHALL AVE  PITTSBURGH United States 152143098 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
EASTER SEAL SOCIETY OF WESTERN PENNSYLVANIA,2525 RAILROAD ST  PITTSBURGH United States 152224608 PA,412-281-7244,Physical Therapist,
PRESSLEY RIDGE,530 MARSHALL AVE  PITTSBURGH United States 152143098 PA,412-321-6995,Clinic/Center,
PRESSLEY RIDGE,530 MARSHALL AVE  PITTSBURGH United States 152143016 PA,412-321-6995,Case Management,
"COMMUNITY HEARING, LLC",1789 S BRADDOCK AVE SUITE 575 PITTSBURGH United States 152181842 PA,412-499-3215,Audiologist-Hearing Aid Fitter,Eye and Ear Care
THE WESTERN PENNSYLVANIA HOSPITAL,4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-5000,Clinic/Center Ambulatory Surgical,
B J MORROW AND ASSOCIATES,9200 PERRY HIGHWAY  PITTSBURGH United States 152375444 PA,412-364-4423,Dentist,Dental Care
UPMC COMMUNITY MEDICINE INC,200 DELAFIELD RD SUITE 1040 MED ARTS BLDG PITTSBURGH United States 152153205 PA,412-782-3990,Orthopaedic Surgery,Surgery
S. VENKATESH MD PC,100 DELAFIELD RD STE 211  PITTSBURGH United States 152153247 PA,412-784-0666,Optometrist,
ANU GOWDA MD LLC,11618 FRANKSTOWN RD  PITTSBURGH United States 152353319 PA,412-731-7170,Internal Medicine,
CENTER FOR SPIRITUALITY IN 12 STEP RECOVERY,900 REBECCA AVE  PITTSBURGH United States 152212938 PA,412-247-2750,Case Management,
WPIC OF UPMC PRESBYTERIAN,3811 OHARA ST  PITTSBURGH United States 152132593 PA,412-432-5500,"Clinic/Center Rehabilitation, Substance Use Disorder",Mental Health and Rehabilitation
UPMC PRESBYTERIAN SHADYSIDE,3811 OHARA ST  PITTSBURGH United States 152132593 PA,412-432-5500,"Clinic/Center Rehabilitation, Substance Use Disorder",Mental Health and Rehabilitation
ST. CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL ROAD  PITTSBURGH United States 152431899 PA,412-942-1234,Clinic/Center Ambulatory Surgical,
WEST PENN ALLEGHENY HEALTH SYSTEM INC.,320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-3131,Clinic/Center Mental Health (Including Community Mental Health Center),Mental Health and Rehabilitation
"EASTERN AREA ADULT SERVICES, INC.",901 WEST ST  PITTSBURGH United States 152212833 PA,412-247-1446,Home Health,
COMPRO,711 BINGHAM ST  PITTSBURGH United States 152031007 PA,412-995-5000,Specialist,
QUALITY HEARING AID CENTER,5301 GROVE ROAD SUITEM207 PITTSBURGH United States 15236 PA,412-881-4377,Hearing  Aid Equipment,Eye and Ear Care
MERCY CRITICAL CARE ASSOCIATES P.C.,1400 LOCUST ST SUITE 4230 PITTSBURGH United States 152195114 PA,412-232-7341,Internal Medicine Critical Care Medicine,
VETERAN'S ADMINISTRATION,1020 PROGRESS ST M501 PITTSBURGH United States 152125954 PA,734-717-7585,General Acute Care Hospital,
THE SUNLIGHT OF THE SPIRIT,2275 SWALLOW HILL RD BUILDING 600 PITTSBURGH United States 152201656 PA,412-429-1047,Community/Behavioral Health,
GENERAL MEDICAL PRACTITIONERS AND SPECIALISTS P.C.,1312 FEDERAL ST  PITTSBURGH United States 152124706 PA,412-321-0255,Family Medicine Adult Medicine,
DIAGNOSTIC DIGESTIVE DISEASES ASSOCIATES P C,4815 LIBERTY AVE SUITE 453 PITTSBURGH United States 152242156 PA,412-621-0220,Internal Medicine Gastroenterology,
NORTH SIDE CHRISTIAN HEALTH CENTER,816 MIDDLE ST  PITTSBURGH United States 152124915 PA,412-321-4001,Clinic/Center Federally Qualified Health Center (FQHC),
"NOBLECARE PRIMARY CARE CENTER,INC",301 CASTLE SHANNON BLVD  PITTSBURGH United States 152341403 PA,412-563-7100,Specialist,
LAURIE A. ROBA MD LLC,1326 FREEPORT RD SUITE 200 PITTSBURGH United States 152383131 PA,412-963-0414,Ophthalmology,
"MALIK MEDICAL ASSOCIATES,INC",3 WIDGEON DR  PITTSBURGH United States 152381125 PA,412-867-1612,Clinic/Center Primary Care,
"SHAMSHER BAKTH, M.D.P.C.",500 LEWIS RUN RD SUITE 108 PITTSBURGH United States 151223056 PA,412-466-8088,Internal Medicine,
"MARTIN L. NOVAK, D.C.",527 SHADY AVE  PITTSBURGH United States 152064437 PA,412-661-5000,Chiropractor,
"JOHN MISSRY, M.D., L.L.C.",5701 CENTRE AVE SUITE L-3 PITTSBURGH United States 152063744 PA,412-661-2100,Ophthalmology,
ALEXANDER CHANG MD PC,2101 GREENTREE RD STE 105  PITTSBURGH United States 152201400 PA,412-429-2020,Ophthalmology,
TRANSFORMEDIA LLC,9401 MCKNIGHT RD SUITE 308 PITTSBURGH United States 152376000 PA,412-445-5352,Psychologist Counseling,
MCCOLLUM CORPORATION,514 BELTZHOOVER AVE.  PITTSBURGH United States 15210 PA,412-431-3080,Family Medicine,
"CAROLE KUNKLE-MILLER, PHD",1720 WASHINGTON RD SUITE 208 PITTSBURGH United States 152411208 PA,412-854-4887,Psychologist Clinical,
GERVASE B NEALON,1616 MAIN ST  PITTSBURGH United States 152152610 PA,412-781-9111,Durable Medical Equipment & Medical Supplies,
ARNOLD J SNITZER MD PC,748 N NEGLEY AVE  PITTSBURGH United States 152062009 PA,412-362-1167,Family Medicine,
A BETTER HEARING EXPERIENCE,5608 WILKINS AVE SUITE 102 PITTSBURGH United States 152171281 PA,412-521-5890,Audiologist,Eye and Ear Care
PITTSBURGH HEART GROUP PC,5200 CENTRE AVE #206 PITTSBURGH United States 15232 PA,412-621-1500,Specialist,
GREEN PARK HEALTH LLC DBA TROY PHARMACY,1612 LOWRIE STREET TROY PHARMACY PITTSBURGH United States 15212 PA,412-904-2231,Pharmacist,Pharmacy
RENAISSANCE PLASTIC SURGERY GROUP LLC,1350 LOCUST ST G103 PITTSBURGH United States 152194738 PA,412-232-8089,Specialist,
"SHARON C. O'ROURKE, O.D. LLC",4745 CLAIRTON BLVD LOWER LEVEL NORTH PITTSBURGH United States 152362115 PA,412-892-9767,Optometrist,
CHRYSALIS MENTAL HEALTH & WELLNESS INC.,1074 GREENTREE RD  PITTSBURGH United States 152203140 PA,412-889-2142,Counselor Mental Health,Mental Health and Rehabilitation
"YOUR OWN HOME, INC DBA COMFORT KEEPERS",5824 BROWNSVILLE RD  PITTSBURGH United States 152363506 PA,412-653-6100,Home Health,
"SURGICAL SPECIALISTS OF PITTSBURGH, INC.",100 DELAFIELD RD SUITE 213 PITTSBURGH United States 152153247 PA,412-784-5100,Specialist,
MAGER CHIROPRACTIC CENTER,305 MOUNT LEBANON BLVD SUITE 200 PITTSBURGH United States 152341511 PA,412-341-3332,Chiropractor,
ALLEGHENY MEDICAL PRACTICE NETWORK,5889 FORBES AVE SUITE 220 PITTSBURGH United States 152171660 PA,412-421-3500,Family Medicine,
"TIMOTHY T. OTT, D.O. AND ASSOCIATES, P.C.",1145 BOWER HILL RD SUITE 204 PITTSBURGH United States 152431342 PA,412-276-3050,Family Medicine,
"BOURSE OPTICAL BOUTIQUE, INC.",2275 SWALLOW HILL RD BUILDING 700 PITTSBURGH United States 152201656 PA,412-489-6726,Optometrist,
PAUL F HESS DMD,4156 LIBRARY ROAD  PITTSBURGH United States 15234 PA,412-561-4464,Dentist,Dental Care
SOUTHWESTERN PENNSYLVANIA INTENSIVE CARE ASSOCIATES PC,1 PENN CTR W STE 307 PITTSBURGH United States 152760109 PA,412-788-4995,Internal Medicine Critical Care Medicine,
"EAST SIDE PEDIATRICS, P.C.",5808 EVA ST  PITTSBURGH United States 152063813 PA,412-363-7700,Clinic/Center Primary Care,
RICHARD S GEHL MD PC,1350 LOCUST ST SUITE 208 PITTSBURGH United States 152194738 PA,412-562-3098,Specialist,
DWD MANAGEMENT LLC,9365 MCKNIGHT RD STE 500  PITTSBURGH United States 152375901 PA,412-366-3363,Chiropractor,
NORTHLAND HEARING CENTERS INC,2140 ARMORE BOULEVARD  PITTSBURGH United States 15221 PW,412-351-9190,Audiologist-Hearing Aid Fitter,Eye and Ear Care
FOREST HILLS CHIROPRACTIC CENTER P C,150 FOREST HILLS PLZ  PITTSBURGH United States 152215211 PA,412-646-4344,Chiropractor,
"EDWARD W. MCCARTHY, DMD LLC",9370 MCKNIGHT RD 405 ARCADIA COURT PITTSBURGH United States 152375953 PA,412-367-8877,Dentist Prosthodontics,Dental Care
ARMSTRONG VEIN CLINIC,1360 OLD FREEPORT RD STE 1A  PITTSBURGH United States 152384102 PA,412-963-2349,Legal Medicine,
"PRABHU PRIMARY CARE, P.C.",1050 BOWER HILL RD SUITE 301 PITTSBURGH United States 152431800 PA,412-531-7330,Clinic/Center,
"NORTH HILLS HOSPITALIST SERVICES, INC.",9104 BABCOCK BLVD SUITE 2103 PITTSBURGH United States 152375818 PA,412-367-5020,Hospitalist,
CUTITTA CHIROPRACTIC LLC,4733 BUTLER STREET  PITTSBURGH United States 15201 PA,412-325-4100,Chiropractor,
"RICHARD P. JACOBS, M.D. P.C.",532 S AIKEN AVE SUITE 414 PITTSBURGH United States 152321521 PA,412-681-6632,Urology,
"JACK L MALVIN DENTAL ASSOCIATES, PC",242 S HIGHLAND AVE SUITE 201 PITTSBURGH United States 152063937 PA,412-661-7316,Dentist General Practice,Dental Care
BEITLER-MCKEE OPTICAL COMPANY,160 S 22ND ST  PITTSBURGH United States 152032064 PA,412-481-4700,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
PJB THERAPY SERVICES LLC,1145 BOWER HILL RD SUITE 203 PITTSBURGH United States 152431342 PA,412-429-1980,Physical Therapist Hand,
"WELLNESS ASSOC. USA,P.C.",3322 BABCOCK BLVD  PITTSBURGH United States 152372422 PA,412-367-3778,Chiropractor,
"BANKSVILLE MEDICAL, PC",2508 BANKSVILLE AVE  PITTSBURGH United States 152162802 PA,412-341-6650,Internal Medicine,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",320 E NORTH AVE SUITE 108 PITTSBURGH United States 152124756 PA,412-359-6001,Dentist General Practice,Dental Care
"PENN HOME MEDICAL SUPPLY CO., LLC",1307 FEDERAL ST  PITTSBURGH United States 152124769 PA,412-321-2901,Durable Medical Equipment & Medical Supplies,
ADVANCED DIAGNOSTICS PC,3519 BIGELOW BLVD  PITTSBURGH United States 152131023 PA,412-683-8378,Psychologist,
UPMC COMMUNITY MEDICINE INC,5700 CORPORATE DR STE 410 MCCANDLESS CORPORATE CENTER BLDG 111 PITTSBURGH United States 152375861 PA,412-358-9613,Internal Medicine,
UPMC SHADYSIDE,5215 CENTRE AVE  PITTSBURGH United States 15232 PA,412-623-2561,Non-Pharmacy Dispensing Site,Pharmacy
UPMC DIVISION OF GERIATRICS,200 LOTHROP ST BENEDUM GERIATRIC CENTER PITTSBURGH United States 152132536 PA,412-692-4200,Clinic/Center Medical Specialty,
"C. S. RESHMI, M.D. INC.",2708 BROWNSVILLE RD SUITE 106 PITTSBURGH United States 152272035 PA,412-886-9110,Exclusive Provider Organization,
THE PHYSICAL THERAPY CENTER INC,1699 WASHINGTON RD  PITTSBURGH United States 152281629 PA,412-831-5155,Clinic/Center Physical Therapy,
"MIDTOWN CARDIOVASCULAR ASSOCIATES, INC.",1501 LOCUST ST SUITE 501 PITTSBURGH United States 152195136 PA,412-281-0769,Internal Medicine Cardiovascular Disease,
MURRAY V OSOFSKY MD PC,540 N NEVILLE STREET SUITE 103 PITTSBURGH United States 15213 PA,412-621-6666,Obstetrics & Gynecology Gynecology,Women & Reproductive Care
MEDEXPRESS URGENT CARE LLC - GREENTREE,1984 GREENTREE RD  PITTSBURGH United States 152201813 PA,412-341-3627,Clinic/Center Urgent Care,
JEWISH RESIDENTIAL SERVICES,2621 MURRAY AVE  PITTSBURGH United States 152172418 PA,412-422-1850,Community/Behavioral Health,
PAVILION OPTICAL,4815 LIBERTY AVE M-25 PITTSBURGH United States 152242156 PA,412-621-7038,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
MT. OLIVER AMBULANCE SERVICE,150 BROWNSVILLE RD  PITTSBURGH United States 152102165 PA,412-431-8107,Ambulance,
"JOOP OFFERMAN, MD",6740 REYNOLDS ST  PITTSBURGH United States 152064512 PA,412-361-4960,Family Medicine,
DENNIS A PERRY DMD PC,1082 BOWER HILL RD  PITTSBURGH United States 152431324 PA,412-276-1585,Case Management,
WE CARE CHIROPRACTIC,7575 SALTSBURG RD  PITTSBURGH United States 152353634 PA,412-795-2900,Chiropractor,
DAVID MESSINA,287 NANTUCKET DR  PITTSBURGH United States 152364446 PA,412-653-4676,Social Worker Clinical,
"RESIDENTIAL CARE SERVICES, INC.",340 PEARL ST  PITTSBURGH United States 152241953 PA,412-683-7180,"Community Based Residential Treatment Facility, Mental Illness",Mental Health and Rehabilitation
"HARLAN R. GILES, MD PC",100 FLEET ST SUITE 102 PITTSBURGH United States 152202907 PA,412-922-1400,Obstetrics & Gynecology Maternal & Fetal Medicine,Women & Reproductive Care
WESTERN PENNSYLVANIA HOSPITAL PHARMACY,4800 FRIENDSHIP AVE GR301 PITTSBURGH United States 152241722 PA,412-578-3561,Pharmacy Institutional Pharmacy,Pharmacy
"METROPOLITAN EAR, NOSE & THROAT ASSOCIATES, INC.",490 E NORTH AVE STE 207 ALLEGHENY PROFESSIONAL BLDG PITTSBURGH United States 152124740 PA,412-321-1810,Otolaryngology,
EAGLE EYES,6511 STEUBENVILLE PIKE  PITTSBURGH United States 152051005 PA,412-787-0200,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
"METROPOLITAN EAR, NOSE & THROAT ASSOCIATES, INC.","1400 LOCUST ST BUILDING D, SUITE 5122 PITTSBURGH United States 152195114 PA",412-281-0322,Otolaryngology,
UPMC COMMUNITY MEDICINE INC,9104 BABCOCK BLVD SUITE 1106 PITTSBURGH United States 152375818 PA,412-366-6841,Internal Medicine Geriatric Medicine,
RITU THAMMAN MD PC,490 E NORTH AVE G104 PITTSBURGH United States 152124740 PA,412-359-5131,Internal Medicine Cardiovascular Disease,
"PRIMARY CARE HEALTH SERVICES, INC",7227 HAMILTON AVE  PITTSBURGH United States 152081814 PA,412-244-4700,Clinic/Center Federally Qualified Health Center (FQHC),
"PRIMARY CARE HEALTH SERVICES, INC,",7227 HAMILTON AVE  PITTSBURGH United States 152081814 PA,412-244-4700,Clinic/Center Federally Qualified Health Center (FQHC),
LIFELINE SLEEP CENTER LLC,2030 ARDMORE BLVD 251 PITTSBURGH United States 152214652 PA,412-351-6545,Durable Medical Equipment & Medical Supplies Oxygen Equipment & Supplies,
BENEDUM GERIATRIC CENTER,"130 N BELLEFIELD AVE FIFTH FLOOR, ROOM 532 PITTSBURGH United States 152132695 PA",412-383-1931,Specialist,
"ARTHUR SIGNORELLA, MD",1000 BOWER HILL RD STE 213  PITTSBURGH United States 152431873 PA,412-572-6595,Obstetrics & Gynecology,Women & Reproductive Care
UNIVERSAL HEARING AID CENTER,5528 HOBART ST  PITTSBURGH United States 152171923 PA,412-422-5636,Hearing  Aid Equipment,Eye and Ear Care
OUTREACH TEEN & FAMILY SERVICES INC,666 WASHINGTON ROAD SUITE 3 PITTSBURGH United States 15228 PA,412-561-5405,Community/Behavioral Health,
ANEWRX LP,523 PARKWAY VIEW DR  PITTSBURGH United States 152051410 PA,412-788-8908,Pharmacy Compounding Pharmacy,Pharmacy
DUQUESNE UNIVERSITY OF THE HOLY SPIRIT,1000 FIFTH AVENUE  PITTSBURGH United States 15282 PA,412-396-2155,Pharmacist Pharmacotherapy,Pharmacy
"COMMUNITY EMPOWERMENT ASSOCIATION, INC",7120 KELLY ST  PITTSBURGH United States 152081843 PA,412-371-3689,Psychiatry & Neurology Psychiatry,
"MARGARET S. LALLY, LLC",1382 OLD FREEPORT RD FIRST FLOOR REAR PITTSBURGH United States 152383159 PA,412-967-1192,Dermatology,
"A PLUS CONSULTING, INC",145 SAXONY DR  PITTSBURGH United States 152412418 PA,412-965-1215,Community/Behavioral Health,
FLAHERTY & CO OPTICIANS,3402 5TH AVE  PITTSBURGH United States 152133205 PA,412-621-6027,Durable Medical Equipment & Medical Supplies,
ARTHUR E GOLDBERG DPM,156 FOREST HILLS PLZ  PITTSBURGH United States 152215211 PA,412-823-3444,Durable Medical Equipment & Medical Supplies,
CHOICE COUNSELING AND CONSULTING,5501 BAUM BLVD STE 791  PITTSBURGH United States 152321203 PA,412-310-5639,Counselor,
PREMIER MED REHAB INC,4810 LIBERTY AVENUE SUITE 1000 PITTSBURGH United States 152242108 PA,412-918-2408,Physical Medicine & Rehabilitation,Mental Health and Rehabilitation
"RELATIONSHIP RESOLUTIONS, LLC",969 GREENTREE RD SUITE 108 PITTSBURGH United States 152203303 PA,412-921-3908,Marriage & Family Therapist,
JON B TUCKER MD PC,1082 BOWER HILL RD SUITE 100 PITTSBURGH United States 152431324 PA,412-276-0267,Orthopaedic Surgery,Surgery
"K. RAM-DEV RAO, M.D., P.C.",1501 LOCUST ST SUITE G-6 PITTSBURGH United States 152195136 PA,412-261-0828,Specialist,
CENTER POINTE SLEEP ASSOCIATES,5308 LIBERTY AVE SUITE 624 PITTSBURGH United States 152242356 PA,412-683-3113,Clinic/Center Sleep Disorder Diagnostic,
ALLEGHENY SPECIALTY PRACTICE NETWORK,320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-3751,Hospitalist,
H L SIEGEL S M SIEGEL OPTOMETRISTS,2026 E CARSON ST  PITTSBURGH United States 152031902 PA,412-381-1542,Durable Medical Equipment & Medical Supplies,
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",11624 KELEKET DR CKD SERVICES OF PENN HILLS PITTSBURGH United States 152353327 PA,412-244-3931,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
WELL CARE CENTERS LLC,4941 CLAIRTON BLVD  PITTSBURGH United States 152362101 PA,412-673-2710,Clinical Medical Laboratory,
"NANCY E. CARROLL, M.D., P.C.",4725 MCKNIGHT RD SUITE 123 PITTSBURGH United States 152373414 PA,412-367-1188,Internal Medicine,
